symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T09:15:00+00:00,2026-03-09T09:30:00+00:00,9,9,crypto_breakout_reclaim,take_profit,68021.50020,68328.32771,0.01000,2.62514,0.44314,1,1.00000,{'breakout_high': 67979.0}
X:BTCUSD,2026-03-09T13:00:00+00:00,2026-03-09T13:30:00+00:00,13,13,crypto_breakout_reclaim,take_profit,68488.50023,69217.61430,0.01000,6.84360,0.44754,2,1.00000,{'breakout_high': 68464.0}
X:BTCUSD,2026-03-09T14:30:00+00:00,2026-03-09T15:00:00+00:00,14,15,crypto_breakout_reclaim,signal_exit,69459.75590,69175.62060,0.01000,-3.29192,0.45056,2,1.00000,{'breakout_high': 69324.94}
X:BTCUSD,2026-03-10T07:45:00+00:00,2026-03-10T08:00:00+00:00,7,8,crypto_breakout_reclaim,take_profit,70479.56885,70886.36395,0.01000,3.60851,0.45944,1,0.79278,{'breakout_high': 70406.0}
X:BTCUSD,2026-03-10T09:15:00+00:00,2026-03-10T09:30:00+00:00,9,9,crypto_breakout_reclaim,signal_exit,71253.21488,71066.33695,0.01000,-2.33132,0.46254,1,1.00000,{'breakout_high': 71130.0}
X:BTCUSD,2026-03-10T14:45:00+00:00,2026-03-10T15:00:00+00:00,14,15,crypto_breakout_reclaim,signal_exit,71501.96219,71199.32700,0.01000,-3.49013,0.46378,1,1.00000,{'breakout_high': 71347.0}
X:BTCUSD,2026-03-11T13:15:00+00:00,2026-03-11T13:30:00+00:00,13,13,crypto_breakout_reclaim,signal_exit,70258.55570,70446.16999,0.01000,1.41885,0.45729,1,1.00000,{'breakout_high': 70194.0}
X:BTCUSD,2026-03-11T17:15:00+00:00,2026-03-11T17:30:00+00:00,17,17,crypto_breakout_reclaim,signal_exit,71308.79322,70827.81273,0.01000,-5.27175,0.46194,1,1.00000,{'breakout_high': 71117.0}
X:BTCUSD,2026-03-12T09:30:00+00:00,2026-03-12T11:00:00+00:00,9,11,crypto_breakout_reclaim,signal_exit,70300.54200,70411.43520,0.01000,0.65162,0.45731,6,1.00000,{'breakout_high': 69960.0}
X:BTCUSD,2026-03-12T11:30:00+00:00,2026-03-12T11:45:00+00:00,11,11,crypto_breakout_reclaim,signal_exit,70726.31586,70418.90408,0.01000,-3.53284,0.45872,1,1.00000,{'breakout_high': 70704.0}
X:BTCUSD,2026-03-13T08:30:00+00:00,2026-03-13T11:45:00+00:00,8,11,crypto_breakout_reclaim,trailing_stop,71941.78815,72225.46306,0.01000,2.36821,0.46854,13,1.00000,{'breakout_high': 71777.0}
X:BTCUSD,2026-03-13T12:45:00+00:00,2026-03-13T14:00:00+00:00,12,14,crypto_breakout_reclaim,take_profit,72811.61861,73514.81962,0.01000,6.55645,0.47556,5,1.00000,{'breakout_high': 72674.0}
X:BTCUSD,2026-03-16T03:30:00+00:00,2026-03-16T06:00:00+00:00,3,6,crypto_breakout_reclaim,time_stop,73808.98819,73693.16287,0.01000,-1.63764,0.47938,10,1.00000,{'breakout_high': 73032.41}
X:BTCUSD,2026-03-16T13:00:00+00:00,2026-03-16T14:00:00+00:00,13,14,crypto_breakout_reclaim,take_profit,74000.09685,74302.87140,0.01000,2.54576,0.48198,4,1.00000,{'breakout_high': 73899.99}
X:BTCUSD,2026-03-16T21:00:00+00:00,2026-03-16T21:15:00+00:00,21,21,crypto_breakout_reclaim,signal_exit,74384.84455,74261.12766,0.01000,-1.72027,0.48310,1,1.00000,{'breakout_high': 74356.43}
X:BTCUSD,2026-03-16T22:00:00+00:00,2026-03-16T22:15:00+00:00,22,22,crypto_breakout_reclaim,signal_exit,74897.24140,74643.48030,0.01000,-3.02362,0.48601,1,1.00000,{'breakout_high': 74524.0}
X:BTCUSD,2026-03-17T00:00:00+00:00,2026-03-17T02:00:00+00:00,0,2,crypto_breakout_reclaim,time_stop,75436.73231,75212.71490,0.01000,-2.72978,0.48961,8,1.00000,{'breakout_high': 74913.69}
