symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
X:BTCUSD,2026-03-09T07:00:00+00:00,2026-03-09T07:20:00+00:00,7,7,crypto_short_breakdown,trailing_stop,67159.92300,67181.07415,0.01000,-0.64812,0.43661,4,0.56193,"{'position_intent': 'short_entry', 'breakout_low': 67228.02, 'rebound_high': 67401.0, 'short_breakdown_low': 67228.02, 'short_rebound_high': 67401.0}"
X:BTCUSD,2026-03-09T08:05:00+00:00,2026-03-09T09:30:00+00:00,8,9,crypto_short_breakdown,take_profit,67614.28912,68150.17444,0.01000,4.91762,0.44123,17,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-09T11:15:00+00:00,2026-03-09T11:35:00+00:00,11,11,crypto_short_breakdown,stale_breakout,67424.88325,67663.78655,0.01000,-2.82807,0.43904,4,0.77643,"{'position_intent': 'short_entry', 'breakout_low': 67540.6, 'rebound_high': 67789.0, 'short_breakdown_low': 67540.6, 'short_rebound_high': 67789.0}"
X:BTCUSD,2026-03-09T12:05:00+00:00,2026-03-09T12:20:00+00:00,12,12,crypto_short_breakdown,take_profit,67856.67548,68058.64817,0.01000,1.57800,0.44172,3,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-09T16:30:00+00:00,2026-03-09T16:50:00+00:00,16,16,crypto_short_breakdown,stale_breakout,68701.79169,69003.10741,0.01000,-3.46070,0.44754,4,0.60349,"{'position_intent': 'short_entry', 'breakout_low': 68735.2, 'rebound_high': 69062.09, 'short_breakdown_low': 68735.2, 'short_rebound_high': 69062.09}"
X:BTCUSD,2026-03-09T17:35:00+00:00,2026-03-09T19:05:00+00:00,17,19,crypto_short_breakdown,time_stop,68409.73550,68521.27515,0.01000,-1.56042,0.44503,18,0.91499,"{'position_intent': 'short_entry', 'breakout_low': 68605.1, 'rebound_high': 68935.79, 'short_breakdown_low': 68605.1, 'short_rebound_high': 68935.79}"
X:BTCUSD,2026-03-09T19:15:00+00:00,2026-03-09T20:30:00+00:00,19,20,crypto_short_breakdown,trailing_stop,68888.71026,68865.51712,0.01000,-0.67963,0.44770,15,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-10T00:15:00+00:00,2026-03-10T01:35:00+00:00,0,1,crypto_short_breakdown,trailing_stop,68738.30770,68865.66710,0.01000,0.82638,0.44721,16,0.70000,"{'position_intent': 'short_exit', 'short_exit': 1.0}"
X:BTCUSD,2026-03-10T12:00:00+00:00,2026-03-10T13:05:00+00:00,12,13,crypto_short_breakdown,structure_exit,70474.36576,70781.61415,0.01000,-3.53157,0.45908,13,0.55409,"{'position_intent': 'short_entry', 'breakout_low': 70547.51, 'rebound_high': 70744.0, 'short_breakdown_low': 70547.51, 'short_rebound_high': 70744.0}"
X:BTCUSD,2026-03-10T17:35:00+00:00,2026-03-10T20:20:00+00:00,17,20,crypto_short_breakdown,signal_exit,70663.70735,70241.25311,0.01000,3.76660,0.45794,33,1.00000,"{'position_intent': 'short_entry', 'breakout_low': 71014.54, 'rebound_high': 71359.32, 'short_breakdown_low': 71014.54, 'short_rebound_high': 71359.32}"
