symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMD,2022-09-28T18:00:00+00:00,2022-09-28T18:15:00+00:00,18,18,stock_power_hour_continuation,stop_loss,68.64373,68.22635,0.10000,-0.54311,0.50137,1,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-03T18:00:00+00:00,2022-10-04T15:45:00+00:00,18,15,stock_power_hour_continuation,take_profit,65.86317,68.10638,0.10000,-0.27702,0.50134,12,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-11T18:45:00+00:00,2022-10-11T20:45:00+00:00,18,20,stock_power_hour_continuation,stop_loss,58.42168,57.17856,0.10000,-0.62547,0.50116,8,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-12T19:30:00+00:00,2022-10-12T20:45:00+00:00,19,20,stock_power_hour_continuation,trailing_stop,57.58151,57.83843,0.10000,-0.47546,0.50115,5,1.00000,{'hour_of_day': 19.0}
AMD,2022-10-13T19:30:00+00:00,2022-10-14T15:45:00+00:00,19,15,stock_power_hour_continuation,structure_exit,58.91178,57.51849,0.10000,-0.64049,0.50116,6,1.00000,{'hour_of_day': 19.0}
AMD,2022-10-17T18:00:00+00:00,2022-10-18T16:30:00+00:00,18,16,stock_power_hour_continuation,structure_exit,57.99160,57.71845,0.10000,-0.52847,0.50116,15,1.00000,{'hour_of_day': 18.0}
AMD,2022-10-21T19:45:00+00:00,2022-10-24T15:45:00+00:00,19,15,stock_power_hour_continuation,stop_loss,58.39168,57.24855,0.10000,-0.61547,0.50116,5,1.00000,{'hour_of_day': 19.0}
AMD,2022-10-24T18:30:00+00:00,2022-10-24T19:15:00+00:00,18,19,stock_power_hour_continuation,structure_exit,58.70174,58.14837,0.10000,-0.55651,0.50117,3,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-02T19:00:00+00:00,2022-11-02T20:15:00+00:00,19,20,stock_power_hour_continuation,structure_exit,61.83236,59.07818,0.10000,-0.77663,0.50121,5,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-08T19:00:00+00:00,2022-11-08T19:15:00+00:00,19,19,stock_power_hour_continuation,stop_loss,64.65293,64.07718,0.10000,-0.55886,0.50129,1,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-10T19:15:00+00:00,2022-11-11T15:45:00+00:00,19,15,stock_power_hour_continuation,take_profit,67.67353,70.00600,0.10000,-0.26813,0.50138,7,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-11T19:00:00+00:00,2022-11-14T15:45:00+00:00,19,15,stock_power_hour_continuation,trailing_stop,72.52450,72.84543,0.10000,-0.46936,0.50145,8,1.00000,{'hour_of_day': 19.0}
AMD,2022-11-14T18:15:00+00:00,2022-11-15T15:45:00+00:00,18,15,stock_power_hour_continuation,take_profit,74.51490,77.90442,0.10000,-0.16257,0.50152,11,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-17T18:00:00+00:00,2022-11-17T20:00:00+00:00,18,20,stock_power_hour_continuation,trailing_stop,73.88477,73.71525,0.10000,-0.51843,0.50148,8,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-22T18:00:00+00:00,2022-11-23T15:45:00+00:00,18,15,stock_power_hour_continuation,take_profit,74.06481,77.49450,0.10000,-0.15855,0.50152,12,1.00000,{'hour_of_day': 18.0}
AMD,2022-11-29T19:00:00+00:00,2022-11-29T20:45:00+00:00,19,20,stock_power_hour_continuation,structure_exit,73.85477,73.66526,0.10000,-0.52043,0.50148,7,1.00000,{'hour_of_day': 19.0}
AMD,2022-12-07T18:45:00+00:00,2022-12-07T19:15:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,70.77415,70.55589,0.10000,-0.52324,0.50141,2,1.00000,{'hour_of_day': 18.0}
AMD,2022-12-20T19:15:00+00:00,2022-12-21T15:45:00+00:00,19,15,stock_power_hour_continuation,take_profit,65.41308,66.33673,0.10000,-0.40895,0.50132,7,1.00000,{'hour_of_day': 19.0}
AMD,2022-12-21T18:45:00+00:00,2022-12-21T20:30:00+00:00,18,20,stock_power_hour_continuation,trailing_stop,67.30346,67.48650,0.10000,-0.48304,0.50135,7,1.00000,{'hour_of_day': 18.0}
AMD,2022-12-23T18:00:00+00:00,2022-12-23T19:00:00+00:00,18,19,stock_power_hour_continuation,trailing_stop,63.98279,63.92721,0.10000,-0.50684,0.50128,4,1.00000,{'hour_of_day': 18.0}
AMD,2022-12-29T18:45:00+00:00,2022-12-30T15:45:00+00:00,18,15,stock_power_hour_continuation,structure_exit,64.87297,64.13717,0.10000,-0.57487,0.50129,9,1.00000,{'hour_of_day': 18.0}
AMD,2023-01-04T18:00:00+00:00,2023-01-04T18:45:00+00:00,18,18,stock_power_hour_continuation,stop_loss,64.83296,64.57708,0.10000,-0.52688,0.50129,3,1.00000,{'hour_of_day': 18.0}
