symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
MSFT,2025-04-07T17:45:00+00:00,2025-04-07T18:55:00+00:00,17,18,stock_news_momentum,stale_breakout,359.41187,357.18355,0.10000,-0.73000,0.50717,14,1.00000,"{'news_count_1d': 1.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-08T13:30:00+00:00,2025-04-08T15:00:00+00:00,13,15,stock_news_momentum,stale_breakout,370.59910,369.56607,0.10000,-0.61070,0.50740,18,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-09T13:30:00+00:00,2025-04-09T17:15:00+00:00,13,17,stock_news_momentum,take_profit,356.65132,374.25513,0.10000,1.25307,0.50731,45,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-09T19:45:00+00:00,2025-04-09T20:00:00+00:00,19,20,stock_news_momentum,trailing_stop,389.97798,389.87201,0.10000,-0.51840,0.50780,3,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-10T19:10:00+00:00,2025-04-10T19:40:00+00:00,19,19,stock_news_momentum,stop_loss,380.98118,378.06437,0.10000,-0.79927,0.50759,6,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-11T16:05:00+00:00,2025-04-11T17:25:00+00:00,16,17,stock_news_momentum,stale_breakout,386.71233,385.35291,0.10000,-0.64366,0.50772,16,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-11T19:50:00+00:00,2025-04-11T20:30:00+00:00,19,20,stock_news_momentum,stale_breakout,388.82775,388.02238,0.10000,-0.58831,0.50777,8,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-15T13:30:00+00:00,2025-04-15T14:15:00+00:00,13,14,stock_news_momentum,stale_breakout,390.10300,386.95759,0.10000,-0.82231,0.50777,9,1.00000,"{'news_count_1d': 6.0, 'earnings_event_day': 0.0}"
MSFT,2025-04-17T16:05:00+00:00,2025-04-17T16:45:00+00:00,16,16,stock_news_momentum,stale_breakout,372.20443,370.07597,0.10000,-0.72027,0.50742,8,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-21T19:50:00+00:00,2025-04-22T13:25:00+00:00,19,13,stock_news_momentum,take_profit,358.86176,363.40730,0.10000,-0.05267,0.50722,18,1.00000,"{'news_count_1d': 4.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-25T13:30:00+00:00,2025-04-25T13:50:00+00:00,13,13,stock_news_momentum,stop_loss,387.77754,385.28293,0.10000,-0.75719,0.50773,4,1.00000,"{'news_count_1d': 5.0, 'earnings_event_day': 1.0}"
MSFT,2025-04-30T18:05:00+00:00,2025-04-30T19:10:00+00:00,18,19,stock_news_momentum,stale_breakout,391.19822,390.97179,0.10000,-0.53047,0.50782,13,1.00000,"{'news_count_1d': 3.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-01T13:30:00+00:00,2025-05-01T15:10:00+00:00,13,15,stock_news_momentum,stale_breakout,435.86716,432.43350,0.10000,-0.85205,0.50868,20,1.00000,"{'news_count_1d': 14.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-02T13:30:00+00:00,2025-05-02T15:00:00+00:00,13,15,stock_news_momentum,trailing_stop,431.33625,434.29312,0.10000,-0.21297,0.50866,18,1.00000,"{'news_count_1d': 2.0, 'earnings_event_day': 1.0}"
MSFT,2025-05-05T14:00:00+00:00,2025-05-05T19:20:00+00:00,14,19,stock_news_momentum,trailing_stop,435.34125,436.89260,0.10000,-0.35359,0.50872,64,1.00000,"{'news_count_1d': 8.0, 'earnings_event_day': 1.0}"
