symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
QQQ,2025-10-10T16:45:00+00:00,2025-10-10T17:00:00+00:00,16,17,us500_short_trend_rejection,stop_loss,597.08983,594.28026,0.10000,-0.28096,0.00000,3,1.00000,"{'trend_strength': -0.0073848672903772394, 'z_score_20': -1.4622280334426856, 'vwap_distance': -0.011575912187571591, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-15T16:00:00+00:00,2025-10-15T16:20:00+00:00,16,16,us500_short_trend_rejection,stale_breakout,603.26014,602.51985,0.10000,-0.07403,0.00000,4,1.00000,"{'trend_strength': -0.0018665436966066595, 'z_score_20': -1.3630185422612338, 'vwap_distance': -0.002675317867808946, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-16T16:00:00+00:00,2025-10-16T16:15:00+00:00,16,16,us500_short_trend_rejection,stop_loss,603.78026,601.38990,0.10000,-0.23904,0.00000,3,1.00000,"{'trend_strength': -0.0018248770778866996, 'z_score_20': -1.6849484685154508, 'vwap_distance': -0.003963948226613279, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-16T16:20:00+00:00,2025-10-16T16:25:00+00:00,16,16,us500_short_trend_rejection,stop_loss,602.90012,600.54495,0.10000,-0.23552,0.00000,1,1.00000,"{'trend_strength': -0.003218836605915154, 'z_score_20': -1.472683025274731, 'vwap_distance': -0.004946021387650101, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-16T16:30:00+00:00,2025-10-16T17:50:00+00:00,16,17,us500_short_trend_rejection,trailing_stop,598.98992,599.60999,0.10000,0.06201,0.00000,16,1.00000,"{'trend_strength': -0.004171075119933643, 'z_score_20': -2.623094111443388, 'vwap_distance': -0.01064523628278602, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-22T16:30:00+00:00,2025-10-22T16:50:00+00:00,16,16,us500_short_trend_rejection,stale_breakout,605.00022,604.14477,0.10000,-0.08555,0.00000,4,1.00000,"{'trend_strength': -0.0016385560271348076, 'z_score_20': -1.5732146165198535, 'vwap_distance': -0.004992812998443785, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-22T16:55:00+00:00,2025-10-22T17:10:00+00:00,16,17,us500_short_trend_rejection,stop_loss,604.79021,602.28986,0.10000,-0.25004,0.00000,3,1.00000,"{'trend_strength': -0.002217962468599066, 'z_score_20': -1.2270041223720185, 'vwap_distance': -0.004907057369164414, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-29T16:00:00+00:00,2025-10-29T17:20:00+00:00,16,17,us500_short_trend_rejection,time_stop,634.80671,634.45825,0.10000,-0.03485,0.00000,16,0.65923,"{'trend_strength': -0.0009003487240036856, 'z_score_20': -2.059880513394698, 'vwap_distance': -0.0022784650431237896, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-31T16:00:00+00:00,2025-10-31T16:05:00+00:00,16,16,us500_short_trend_rejection,stop_loss,630.70151,629.02852,0.10000,-0.16730,0.00000,1,0.56401,"{'trend_strength': -0.000555407197788127, 'z_score_20': -2.3060492353968307, 'vwap_distance': -0.003214064258939664, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
QQQ,2025-10-31T16:10:00+00:00,2025-10-31T16:15:00+00:00,16,16,us500_short_trend_rejection,stop_loss,630.07238,627.90858,0.10000,-0.21638,0.00000,1,0.93379,"{'trend_strength': -0.001460420595815748, 'z_score_20': -2.0105339398569817, 'vwap_distance': -0.0039609216628714305, 'hour_of_day': 16.0, 'position_intent': 'short_exit'}"
