symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
SPY,2026-03-09T15:15:00+00:00,2026-03-09T17:00:00+00:00,15,17,volatility_breakout,trailing_stop,669.19744,670.46246,0.10000,0.12650,0.00000,21,0.62522,{'breakout_high': 668.8399}
SPY,2026-03-09T19:15:00+00:00,2026-03-09T22:20:00+00:00,19,22,volatility_breakout,trailing_stop,673.73767,675.35222,0.10000,0.16145,0.00000,37,1.00000,{'breakout_high': 671.24}
SPY,2026-03-10T14:40:00+00:00,2026-03-10T16:05:00+00:00,14,16,volatility_breakout,trailing_stop,680.35800,679.72200,0.10000,-0.06360,0.00000,17,0.58777,{'breakout_high': 679.57}
SPY,2026-03-11T11:00:00+00:00,2026-03-11T11:15:00+00:00,11,11,volatility_breakout,stop_loss,678.87793,677.64210,0.10000,-0.12358,0.00000,3,0.60738,{'breakout_high': 678.32}
SPY,2026-03-12T09:40:00+00:00,2026-03-12T09:45:00+00:00,9,9,volatility_breakout,signal_exit,674.38770,673.48231,0.10000,-0.09054,0.00000,1,0.72541,{'breakout_high': 673.35}
SPY,2026-03-13T10:00:00+00:00,2026-03-13T13:35:00+00:00,10,13,volatility_breakout,take_profit,667.17734,670.05248,0.10000,0.28751,0.00000,43,0.55105,{'breakout_high': 666.64}
SPY,2026-03-16T08:00:00+00:00,2026-03-16T09:40:00+00:00,8,9,volatility_breakout,stale_breakout,665.83728,664.02278,0.10000,-0.18145,0.00000,20,1.00000,{'breakout_high': 663.1}
SPY,2026-03-16T11:40:00+00:00,2026-03-16T11:50:00+00:00,11,11,volatility_breakout,stop_loss,667.85738,666.76265,0.10000,-0.10947,0.00000,2,0.58444,{'breakout_high': 667.38}
SPY,2026-03-16T19:05:00+00:00,2026-03-16T19:10:00+00:00,19,19,volatility_breakout,signal_exit,671.66757,669.52251,0.10000,-0.21451,0.00000,1,0.91556,{'breakout_high': 670.31}
SPY,2026-03-17T12:05:00+00:00,2026-03-17T13:20:00+00:00,12,13,volatility_breakout,take_profit,669.70747,672.10238,0.10000,0.23949,0.00000,15,0.66305,{'breakout_high': 668.79}
SPY,2026-03-23T11:05:00+00:00,2026-03-23T12:45:00+00:00,11,12,volatility_breakout,stale_breakout,664.99723,660.89294,0.10000,-0.41043,0.00000,20,1.00000,{'breakout_high': 644.36}
SPY,2026-03-23T15:00:00+00:00,2026-03-23T15:35:00+00:00,15,15,volatility_breakout,stop_loss,662.68712,658.95304,0.10000,-0.37341,0.00000,7,0.72750,{'breakout_high': 661.89}
SPY,2026-03-23T18:30:00+00:00,2026-03-23T19:10:00+00:00,18,19,volatility_breakout,stale_breakout,659.17694,657.80309,0.10000,-0.13738,0.00000,8,0.77464,{'breakout_high': 658.31}
SPY,2026-03-23T22:50:00+00:00,2026-03-23T23:30:00+00:00,22,23,volatility_breakout,stale_breakout,657.54686,656.38216,0.10000,-0.11647,0.00000,8,0.67033,{'breakout_high': 656.6}
SPY,2026-03-24T14:50:00+00:00,2026-03-24T14:55:00+00:00,14,14,volatility_breakout,signal_exit,654.75672,653.61330,0.10000,-0.11434,0.00000,1,0.59557,{'breakout_high': 654.14}
SPY,2026-03-24T21:45:00+00:00,2026-03-24T22:25:00+00:00,21,22,volatility_breakout,stale_breakout,658.23690,656.82604,0.10000,-0.14109,0.00000,8,0.67858,{'breakout_high': 657.62}
SPY,2026-03-25T08:00:00+00:00,2026-03-25T08:50:00+00:00,8,8,volatility_breakout,trailing_stop,659.26695,657.82309,0.10000,-0.14439,0.00000,10,0.64666,{'breakout_high': 658.36}
SPY,2026-03-25T11:35:00+00:00,2026-03-25T11:45:00+00:00,11,11,volatility_breakout,stop_loss,660.27700,658.30307,0.10000,-0.19739,0.00000,2,0.58141,{'breakout_high': 659.6}
SPY,2026-03-25T17:35:00+00:00,2026-03-25T17:45:00+00:00,17,17,volatility_breakout,stop_loss,658.94693,657.76810,0.10000,-0.11788,0.00000,2,0.55885,{'breakout_high': 658.32}
SPY,2026-03-26T13:40:00+00:00,2026-03-26T14:50:00+00:00,13,14,volatility_breakout,stale_breakout,653.32665,651.09333,0.10000,-0.22333,0.00000,14,0.70682,{'breakout_high': 652.32}
SPY,2026-03-30T11:25:00+00:00,2026-03-30T11:30:00+00:00,11,11,volatility_breakout,signal_exit,639.33665,637.88409,0.10000,-0.14526,0.00000,1,0.59250,{'breakout_high': 638.64}
SPY,2026-03-31T12:05:00+00:00,2026-03-31T12:10:00+00:00,12,12,volatility_breakout,signal_exit,639.95598,637.23412,0.10000,-0.27219,0.00000,1,0.66488,{'breakout_high': 639.3}
SPY,2026-03-31T13:45:00+00:00,2026-03-31T14:40:00+00:00,13,14,volatility_breakout,signal_exit,642.14609,639.92559,0.10000,-0.22205,0.00000,11,1.00000,{'breakout_high': 640.53}
SPY,2026-03-31T16:35:00+00:00,2026-03-31T18:40:00+00:00,16,18,volatility_breakout,signal_exit,645.21624,647.64860,0.10000,0.24324,0.00000,25,1.00000,{'breakout_high': 642.63}
SPY,2026-04-01T10:45:00+00:00,2026-04-01T12:20:00+00:00,10,12,volatility_breakout,trailing_stop,655.17674,654.53556,0.10000,-0.06412,0.00000,19,0.77079,{'breakout_high': 654.05}
SPY,2026-04-01T15:55:00+00:00,2026-04-01T16:10:00+00:00,15,16,volatility_breakout,signal_exit,658.14689,657.23312,0.10000,-0.09138,0.00000,3,0.63239,{'breakout_high': 657.61}
SPY,2026-04-02T13:30:00+00:00,2026-04-02T13:35:00+00:00,13,13,volatility_breakout,stop_loss,647.42095,645.02373,0.10000,-0.23972,0.00000,1,0.60879,{'breakout_high': 646.64}
SPY,2026-04-02T19:50:00+00:00,2026-04-02T21:35:00+00:00,19,21,volatility_breakout,stale_breakout,655.78797,655.50321,0.10000,-0.02848,0.00000,21,0.62519,{'breakout_high': 655.01}
