name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,sharpe_ratio,sortino_ratio,calmar_ratio,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_unified_regime,best_regime_pnl,worst_regime,worst_unified_regime,worst_regime_pnl,dominant_regime_share_pct,regime_stability_score,regime_loss_ratio,regime_trade_count_by_label,regime_pnl_by_label,regime_pf_by_label,regime_win_rate_by_label,regime_filter_label,broker_swap_available,broker_swap_long,broker_swap_short,broker_preferred_carry_side,broker_carry_spread,mc_simulations,mc_pnl_median,mc_pnl_p05,mc_pnl_p95,mc_max_drawdown_pct_median,mc_max_drawdown_pct_p95,mc_loss_probability_pct,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
momentum__5m_open__exit_trend,Momentum confirmation [5m_open] with trend-runner exits,entry_exit_family,-0.05295,1,0.00000,0.00000,0.00005,0.05020,-0.05295,0.00000,0.00000,-1.00000,0.00000,-0.05295,0.00000,5.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.05295,trend_up_vol_mid,orderly_trend,-0.05295,100.00000,0.00000,999.00000,"{""trend_up_vol_mid"": 1}","{""trend_up_vol_mid"": -0.052947496043599905}","{""trend_up_vol_mid"": 0.0}","{""trend_up_vol_mid"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.05295,-0.05295,-0.05295,0.00005,0.00005,100.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\momentum__5m_open__exit_trend_5m_open_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\momentum__5m_open__exit_trend_5m_open_symbol_candidate_analysis.txt
momentum__5m_open__exit_fastfail,Momentum confirmation [5m_open] with fast-fail exits,entry_exit_family,-0.05295,1,0.00000,0.00000,0.00005,0.05020,-0.05295,0.00000,0.00000,-1.00000,0.00000,-0.05295,0.00000,5.00000,stop_loss,100.00000,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.05295,trend_up_vol_mid,orderly_trend,-0.05295,100.00000,0.00000,999.00000,"{""trend_up_vol_mid"": 1}","{""trend_up_vol_mid"": -0.052947496043599905}","{""trend_up_vol_mid"": 0.0}","{""trend_up_vol_mid"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.05295,-0.05295,-0.05295,0.00005,0.00005,100.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\momentum__5m_open__exit_fastfail_5m_open_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\momentum__5m_open__exit_fastfail_5m_open_symbol_candidate_analysis.txt
mean_reversion__5m_open__exit_quick,Intraday mean reversion away from event windows [5m_open] with quick-fail mean reversion exits,entry_exit_family,-0.05096,1,0.00000,0.00000,0.00005,0.05020,-0.05096,0.00000,0.00000,-1.00000,0.00000,-0.05096,0.00000,5.00000,structure_exit,100.00000,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.05096,trend_flat_vol_high,dislocated_chop,-0.05096,100.00000,0.00000,999.00000,"{""trend_flat_vol_high"": 1}","{""trend_flat_vol_high"": -0.05096389000399973}","{""trend_flat_vol_high"": 0.0}","{""trend_flat_vol_high"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.05096,-0.05096,-0.05096,0.00005,0.00005,100.00000,3,0.00000,0.00000,-0.01699,0.00000,0.00000,0.00000,0.00000,0.00000,0,-0.05096,0.00000,1,artifacts\research\dxy\candidates\mean_reversion__5m_open__exit_quick_5m_open_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\mean_reversion__5m_open__exit_quick_5m_open_symbol_candidate_analysis.txt
volatility_breakout__5m_open__exit_trend,Generic volatility breakout outside event blackout windows [5m_open] with trend-runner exits,entry_exit_family,-0.45987,9,0.00000,0.00000,0.00046,0.45178,-0.05110,-11.47241,-0.99664,-1.00000,0.00000,-0.05110,0.00000,2.66667,stale_breakout,44.44444,1,0.00000,0.00000,trend_up_vol_low,orderly_trend,-0.21171,trend_flat_vol_low,compressed_range,-0.24817,55.55556,0.00000,999.00000,"{""trend_flat_vol_low"": 5, ""trend_up_vol_low"": 4}","{""trend_flat_vol_low"": -0.24816733688739923, ""trend_up_vol_low"": -0.21170629417279932}","{""trend_flat_vol_low"": 0.0, ""trend_up_vol_low"": 0.0}","{""trend_flat_vol_low"": 0.0, ""trend_up_vol_low"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.46079,-0.47945,-0.43991,0.00046,0.00048,100.00000,3,0.00000,0.00000,-0.04731,0.00000,0.00000,-0.20519,0.00000,0.00000,0,-0.10032,0.00000,2,artifacts\research\dxy\candidates\volatility_breakout__5m_open__exit_trend_5m_open_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\volatility_breakout__5m_open__exit_trend_5m_open_symbol_candidate_analysis.txt
volatility_breakout__5m_open__exit_fastfail,Generic volatility breakout outside event blackout windows [5m_open] with fast-fail exits,entry_exit_family,-0.45987,9,0.00000,0.00000,0.00046,0.45178,-0.05110,-11.47241,-0.99664,-1.00000,0.00000,-0.05110,0.00000,2.66667,stale_breakout,33.33333,1,0.00000,0.00000,trend_up_vol_low,orderly_trend,-0.21171,trend_flat_vol_low,compressed_range,-0.24817,55.55556,0.00000,999.00000,"{""trend_flat_vol_low"": 5, ""trend_up_vol_low"": 4}","{""trend_flat_vol_low"": -0.24816733688739923, ""trend_up_vol_low"": -0.21170629417279932}","{""trend_flat_vol_low"": 0.0, ""trend_up_vol_low"": 0.0}","{""trend_flat_vol_low"": 0.0, ""trend_up_vol_low"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.46079,-0.47945,-0.43991,0.00046,0.00048,100.00000,3,0.00000,0.00000,-0.04731,0.00000,0.00000,-0.20519,0.00000,0.00000,0,-0.10032,0.00000,2,artifacts\research\dxy\candidates\volatility_breakout__5m_open__exit_fastfail_5m_open_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\volatility_breakout__5m_open__exit_fastfail_5m_open_symbol_candidate_analysis.txt
stock_trend_breakout__5m_power,Stock trend breakout outside event blackout windows [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_trend_breakout__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_trend_breakout__5m_power_5m_power_symbol_candidate_analysis.txt
stock_news_momentum__5m_power,Stock post-news momentum on high-impact event days [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_news_momentum__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_news_momentum__5m_power_5m_power_symbol_candidate_analysis.txt
stock_event_open_drive_continuation__5m_power,Stock event-day continuation anchored to premarket and opening-drive structure [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_power_5m_power_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_power,Stock post-earnings drift continuation after the open [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_power_5m_power_symbol_candidate_analysis.txt
stock_gap_fade__5m_power,Stock gap fade after overextended opening move [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_fade__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_fade__5m_power_5m_power_symbol_candidate_analysis.txt
stock_gap_and_go__5m_power,Stock gap-and-go continuation after the open [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_and_go__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_and_go__5m_power_5m_power_symbol_candidate_analysis.txt
stock_gap_open_reclaim__5m_power,Stock gap continuation after reclaiming premarket structure [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_open_reclaim__5m_power_5m_power_symbol_candidate_analysis.txt
stock_premarket_sweep_reversal__5m_power,Stock premarket sweep reversal after failed opening extension [5m_power],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_premarket_sweep_reversal__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_premarket_sweep_reversal__5m_power_5m_power_symbol_candidate_analysis.txt
stock_power_hour_continuation__5m_power,Stock power-hour continuation into the close [5m_power],single,-0.75663,15,0.00000,0.00000,0.00076,0.75301,-0.05044,-44.37035,-0.99976,-1.00000,0.00000,-0.05044,0.00000,3.66667,trailing_stop,33.33333,1,0.00000,0.00000,trend_up_vol_mid,orderly_trend,-0.05178,trend_up_vol_low,orderly_trend,-0.70484,93.33333,0.00000,999.00000,"{""trend_up_vol_low"": 14, ""trend_up_vol_mid"": 1}","{""trend_up_vol_low"": -0.704842362881798, ""trend_up_vol_mid"": -0.051783408020000005}","{""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}","{""trend_up_vol_low"": 0.0, ""trend_up_vol_mid"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.75707,-0.76397,-0.74995,0.00076,0.00076,100.00000,3,0.00000,-0.04993,-0.05102,0.00000,0.00000,-0.29955,-0.04993,0.00000,1,-0.10180,0.00000,2,artifacts\research\dxy\candidates\stock_power_hour_continuation__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_power_hour_continuation__5m_power_5m_power_symbol_candidate_analysis.txt
momentum__5m_power,Momentum confirmation [5m_power],single,-0.04908,1,0.00000,0.00000,0.00005,0.05020,-0.04908,0.00000,0.00000,-1.00000,0.00000,-0.04908,0.00000,2.00000,take_profit,100.00000,1,0.00000,0.00000,trend_flat_vol_low,compressed_range,-0.04908,trend_flat_vol_low,compressed_range,-0.04908,100.00000,0.00000,999.00000,"{""trend_flat_vol_low"": 1}","{""trend_flat_vol_low"": -0.04907936396599994}","{""trend_flat_vol_low"": 0.0}","{""trend_flat_vol_low"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.04908,-0.04908,-0.04908,0.00005,0.00005,100.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\momentum__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\momentum__5m_power_5m_power_symbol_candidate_analysis.txt
mean_reversion__5m_power,Intraday mean reversion away from event windows [5m_power],single,-0.50769,10,0.00000,0.00000,0.00051,0.50198,-0.05077,-78.45875,-0.99993,-1.00000,0.00000,-0.05077,0.00000,2.00000,structure_exit,90.00000,1,0.00000,0.00000,trend_flat_vol_high,dislocated_chop,-0.05091,trend_flat_vol_low,compressed_range,-0.15245,30.00000,0.00000,999.00000,"{""trend_down_vol_high"": 1, ""trend_down_vol_low"": 2, ""trend_down_vol_mid"": 2, ""trend_flat_vol_high"": 1, ""trend_flat_vol_low"": 3, ""trend_flat_vol_mid"": 1}","{""trend_down_vol_high"": -0.051005001004999925, ""trend_down_vol_low"": -0.09985457396679959, ""trend_down_vol_mid"": -0.1023399710157997, ""trend_flat_vol_high"": -0.050906321002999785, ""trend_flat_vol_low"": -0.15245260600319943, ""trend_flat_vol_mid"": -0.05113134900739964}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0}","{""trend_down_vol_high"": 0.0, ""trend_down_vol_low"": 0.0, ""trend_down_vol_mid"": 0.0, ""trend_flat_vol_high"": 0.0, ""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.50789,-0.51094,-0.50472,0.00051,0.00051,100.00000,3,0.00000,-0.08494,-0.06618,0.00000,0.00000,-0.15267,-0.10185,0.00000,2,-0.04927,0.00000,1,artifacts\research\dxy\candidates\mean_reversion__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\mean_reversion__5m_power_5m_power_symbol_candidate_analysis.txt
volatility_breakout__5m_power,Generic volatility breakout outside event blackout windows [5m_power],single,-0.91697,18,0.00000,0.00000,0.00092,0.90359,-0.05094,-93.03501,-0.99995,-1.00000,0.00000,-0.05094,0.00000,3.50000,stale_breakout,61.11111,1,0.00000,0.00000,trend_flat_vol_mid,orderly_range,-0.15415,trend_up_vol_low,orderly_trend,-0.45920,50.00000,0.00000,999.00000,"{""trend_flat_vol_low"": 6, ""trend_flat_vol_mid"": 3, ""trend_up_vol_low"": 9}","{""trend_flat_vol_low"": -0.30361384798079927, ""trend_flat_vol_mid"": -0.1541512290365993, ""trend_up_vol_low"": -0.459200145046199}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}","{""trend_flat_vol_low"": 0.0, ""trend_flat_vol_mid"": 0.0, ""trend_up_vol_low"": 0.0}",,1,-21.38000,0.89000,short,-22.27000,500,-0.91708,-0.92043,-0.91301,0.00092,0.00092,100.00000,3,0.00000,-0.05055,-0.23671,0.00000,0.00000,-0.40761,-0.10111,0.00000,2,-0.25460,0.00000,5,artifacts\research\dxy\candidates\volatility_breakout__5m_power_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\volatility_breakout__5m_power_5m_power_symbol_candidate_analysis.txt
stock_trend_breakout__5m_power__exit_trend,Stock trend breakout outside event blackout windows [5m_power] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_trend_breakout__5m_power__exit_trend_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_trend_breakout__5m_power__exit_trend_5m_power_symbol_candidate_analysis.txt
stock_trend_breakout__5m_power__exit_fastfail,Stock trend breakout outside event blackout windows [5m_power] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_trend_breakout__5m_power__exit_fastfail_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_trend_breakout__5m_power__exit_fastfail_5m_power_symbol_candidate_analysis.txt
stock_news_momentum__5m_power__exit_trend,Stock post-news momentum on high-impact event days [5m_power] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_news_momentum__5m_power__exit_trend_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_news_momentum__5m_power__exit_trend_5m_power_symbol_candidate_analysis.txt
stock_news_momentum__5m_power__exit_fastfail,Stock post-news momentum on high-impact event days [5m_power] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_news_momentum__5m_power__exit_fastfail_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_news_momentum__5m_power__exit_fastfail_5m_power_symbol_candidate_analysis.txt
stock_event_open_drive_continuation__5m_power__exit_trend,Stock event-day continuation anchored to premarket and opening-drive structure [5m_power] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_power__exit_trend_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_power__exit_trend_5m_power_symbol_candidate_analysis.txt
stock_event_open_drive_continuation__5m_power__exit_fastfail,Stock event-day continuation anchored to premarket and opening-drive structure [5m_power] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_power__exit_fastfail_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_event_open_drive_continuation__5m_power__exit_fastfail_5m_power_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_power__exit_trend,Stock post-earnings drift continuation after the open [5m_power] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_power__exit_trend_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_power__exit_trend_5m_power_symbol_candidate_analysis.txt
stock_post_earnings_drift__5m_power__exit_fastfail,Stock post-earnings drift continuation after the open [5m_power] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_power__exit_fastfail_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_post_earnings_drift__5m_power__exit_fastfail_5m_power_symbol_candidate_analysis.txt
stock_gap_fade__5m_power__exit_trend,Stock gap fade after overextended opening move [5m_power] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_fade__5m_power__exit_trend_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_fade__5m_power__exit_trend_5m_power_symbol_candidate_analysis.txt
stock_gap_fade__5m_power__exit_fastfail,Stock gap fade after overextended opening move [5m_power] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_fade__5m_power__exit_fastfail_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_fade__5m_power__exit_fastfail_5m_power_symbol_candidate_analysis.txt
stock_gap_and_go__5m_power__exit_trend,Stock gap-and-go continuation after the open [5m_power] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_and_go__5m_power__exit_trend_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_and_go__5m_power__exit_trend_5m_power_symbol_candidate_analysis.txt
stock_gap_and_go__5m_power__exit_fastfail,Stock gap-and-go continuation after the open [5m_power] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,,0.00000,,,0.00000,0.00000,0.00000,0.00000,{},{},{},{},,1,-21.38000,0.89000,short,-22.27000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,3,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\research\dxy\candidates\stock_gap_and_go__5m_power__exit_fastfail_5m_power_symbol_candidate_trades.csv,artifacts\research\dxy\candidates\stock_gap_and_go__5m_power__exit_fastfail_5m_power_symbol_candidate_analysis.txt
