symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMZN,2022-08-05T16:45:00+00:00,2022-08-05T18:00:00+00:00,16,18,mean_reversion,structure_exit,140.75815,140.50189,0.10000,-0.52844,0.50281,5,1.00000,"{'mean': 142.28, 'z_score_20': -2.3058334516397316}"
AMZN,2022-08-11T18:00:00+00:00,2022-08-11T18:45:00+00:00,18,18,mean_reversion,structure_exit,141.74834,141.58168,0.10000,-0.51950,0.50283,3,1.00000,"{'mean': 143.1125, 'z_score_20': -1.9125794968727994}"
AMZN,2022-08-17T16:45:00+00:00,2022-08-17T17:30:00+00:00,16,17,mean_reversion,structure_exit,142.29845,141.50169,0.10000,-0.58251,0.50284,3,1.00000,"{'mean': 144.5, 'z_score_20': -2.2209984024827625}"
AMZN,2022-08-19T16:30:00+00:00,2022-08-19T17:15:00+00:00,16,17,mean_reversion,structure_exit,139.69793,138.87222,0.10000,-0.58536,0.50279,3,1.00000,"{'mean': 141.86375, 'z_score_20': -4.115144913013129}"
AMZN,2022-08-24T16:30:00+00:00,2022-08-24T20:15:00+00:00,16,20,mean_reversion,trailing_stop,133.13662,134.02319,0.10000,-0.41401,0.50267,15,1.00000,"{'mean': 134.04625000000001, 'z_score_20': -2.1227020390844378}"
AMZN,2022-08-26T17:15:00+00:00,2022-08-26T18:00:00+00:00,17,18,mean_reversion,structure_exit,135.20704,133.39332,0.10000,-0.68406,0.50269,3,1.00000,"{'mean': 136.41375, 'z_score_20': -2.1719902596114893}"
AMZN,2022-08-30T17:00:00+00:00,2022-08-30T17:30:00+00:00,17,17,mean_reversion,stop_loss,129.42588,127.27454,0.10000,-0.71770,0.50257,2,1.00000,"{'mean': 130.36125, 'z_score_20': -2.3629625644784125}"
AMZN,2022-09-13T16:30:00+00:00,2022-09-13T17:15:00+00:00,16,17,mean_reversion,structure_exit,130.19603,129.53409,0.10000,-0.56879,0.50260,3,1.00000,"{'mean': 134.93375, 'z_score_20': -4.191593109221484}"
AMZN,2022-09-15T17:45:00+00:00,2022-09-15T19:00:00+00:00,17,19,mean_reversion,structure_exit,126.93538,126.61467,0.10000,-0.53461,0.50254,5,1.00000,"{'mean': 128.6825, 'z_score_20': -1.7367064602135867}"
AMZN,2022-09-20T16:30:00+00:00,2022-09-20T19:30:00+00:00,16,19,mean_reversion,stale_breakout,122.87457,122.90541,0.10000,-0.49937,0.50246,12,1.00000,"{'mean': 123.42375, 'z_score_20': -1.5062851557081773}"
