symbol,entry_timestamp,exit_timestamp,entry_hour,exit_hour,entry_reason,exit_reason,entry_price,exit_price,quantity,pnl,costs,hold_bars,entry_confidence,entry_metadata
AMZN,2022-08-03T16:35:00+00:00,2022-08-03T17:30:00+00:00,16,17,momentum_confirmation,trailing_stop,136.91738,137.13257,0.10000,-0.48122,0.50274,11,1.00000,"{'momentum_5': 0.017088936770933927, 'momentum_20': 0.014751667902149546}"
AMZN,2022-08-04T16:50:00+00:00,2022-08-05T16:30:00+00:00,16,16,momentum_confirmation,signal_exit,140.78815,141.30173,0.10000,-0.45146,0.50282,14,1.00000,"{'momentum_5': 0.00895993118772842, 'momentum_20': 0.003922687397475144}"
AMZN,2022-08-08T16:30:00+00:00,2022-08-09T16:30:00+00:00,16,16,momentum_confirmation,time_stop,143.21864,137.21255,0.10000,-1.10341,0.50280,18,1.00000,"{'momentum_5': 0.02198272785668398, 'momentum_20': 0.01900085397096496}"
AMZN,2022-08-10T16:30:00+00:00,2022-08-11T17:45:00+00:00,16,17,momentum_confirmation,trailing_stop,142.78855,142.78144,0.10000,-0.50357,0.50286,33,1.00000,"{'momentum_5': 0.03614457831325302, 'momentum_20': 0.039161449992720865}"
AMZN,2022-08-12T17:10:00+00:00,2022-08-12T17:40:00+00:00,17,17,momentum_confirmation,structure_exit,141.08821,140.47190,0.10000,-0.56445,0.50282,6,1.00000,"{'momentum_5': 0.003985765124555174, 'momentum_20': 0.005847119224187125}"
AMZN,2022-08-23T16:35:00+00:00,2022-08-23T17:00:00+00:00,16,17,momentum_confirmation,trailing_stop,133.72674,133.58328,0.10000,-0.51702,0.50267,5,1.00000,"{'momentum_5': 0.005943871792942534, 'momentum_20': 0.0023240122947747466}"
AMZN,2022-08-25T16:45:00+00:00,2022-08-25T17:10:00+00:00,16,17,momentum_confirmation,take_profit,134.57691,136.13277,0.10000,-0.34712,0.50271,5,0.99436,"{'momentum_5': 0.004929419672865976, 'momentum_20': 0.0015631978561858606}"
AMZN,2022-08-26T16:30:00+00:00,2022-08-26T17:00:00+00:00,16,17,momentum_confirmation,structure_exit,137.22744,135.11297,0.10000,-0.71417,0.50272,6,1.00000,"{'momentum_5': 0.00453946405037331, 'momentum_20': 0.002557544757033181}"
AMZN,2022-08-30T16:30:00+00:00,2022-08-30T16:55:00+00:00,16,16,momentum_confirmation,structure_exit,131.49629,130.34393,0.10000,-0.61786,0.50262,5,1.00000,"{'momentum_5': 0.006276310753922543, 'momentum_20': 0.010608040587285705}"
AMZN,2022-08-31T16:35:00+00:00,2022-08-31T17:05:00+00:00,16,17,momentum_confirmation,trailing_stop,129.12582,128.89422,0.10000,-0.52574,0.50258,6,1.00000,"{'momentum_5': 0.004434762312300666, 'momentum_20': 0.01215209721677768}"
AMZN,2022-09-02T16:30:00+00:00,2022-09-02T16:40:00+00:00,16,16,momentum_confirmation,trailing_stop,128.65573,128.28434,0.10000,-0.53971,0.50257,2,1.00000,"{'momentum_5': 0.01579404564479181, 'momentum_20': 0.02111613876319751}"
AMZN,2022-09-02T17:30:00+00:00,2022-09-06T16:30:00+00:00,17,16,momentum_confirmation,structure_exit,130.86617,127.12457,0.10000,-0.87674,0.50258,6,1.00000,"{'momentum_5': 0.015050426687354568, 'momentum_20': 0.03129187357137231}"
AMZN,2022-09-07T16:35:00+00:00,2022-09-07T17:05:00+00:00,16,17,momentum_confirmation,structure_exit,126.99539,125.89482,0.10000,-0.61259,0.50253,6,1.00000,"{'momentum_5': 0.004827477049699214, 'momentum_20': 0.006739613066920391}"
AMZN,2022-09-08T16:55:00+00:00,2022-09-08T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,129.01580,128.02439,0.10000,-0.60171,0.50257,1,1.00000,"{'momentum_5': 0.01383321543661098, 'momentum_20': 0.003266702963366397}"
AMZN,2022-09-08T17:55:00+00:00,2022-09-09T16:30:00+00:00,17,16,momentum_confirmation,take_profit,129.85597,131.96360,0.10000,-0.29185,0.50262,1,1.00000,"{'momentum_5': 0.007371198013656155, 'momentum_20': 0.004953943803700067}"
AMZN,2022-09-12T16:30:00+00:00,2022-09-12T17:55:00+00:00,16,17,momentum_confirmation,trailing_stop,134.97699,135.08298,0.10000,-0.49210,0.50270,17,1.00000,"{'momentum_5': 0.01222622262226225, 'momentum_20': 0.012910005254071821}"
AMZN,2022-09-15T16:30:00+00:00,2022-09-15T17:20:00+00:00,16,17,momentum_confirmation,trailing_stop,128.16563,129.30413,0.10000,-0.38872,0.50257,10,1.00000,"{'momentum_5': 0.005098439093262241, 'momentum_20': 0.004389402727700276}"
AMZN,2022-09-19T16:50:00+00:00,2022-09-19T17:05:00+00:00,16,17,momentum_confirmation,stop_loss,124.29485,123.32533,0.10000,-0.59943,0.50248,3,1.00000,"{'momentum_5': 0.005583427739116242, 'momentum_20': 0.010653871177618734}"
AMZN,2022-09-19T17:55:00+00:00,2022-09-20T16:35:00+00:00,17,16,momentum_confirmation,stop_loss,123.89477,123.09538,0.10000,-0.58241,0.50247,2,1.00000,"{'momentum_5': 0.003564773555861711, 'momentum_20': 0.004134241245136172}"
AMZN,2022-09-21T16:45:00+00:00,2022-09-22T16:30:00+00:00,16,16,momentum_confirmation,structure_exit,122.58451,117.77644,0.10000,-0.98321,0.50240,15,1.00000,"{'momentum_5': 0.004014090276071247, 'momentum_20': 0.008060536272413321}"
AMZN,2022-09-26T16:30:00+00:00,2022-09-27T17:00:00+00:00,16,17,momentum_confirmation,trailing_stop,114.72294,115.98680,0.10000,-0.37592,0.50231,24,1.00000,"{'momentum_5': 0.011285487568330144, 'momentum_20': 0.01846918842123957}"
AMZN,2022-09-28T16:40:00+00:00,2022-09-28T17:00:00+00:00,16,17,momentum_confirmation,structure_exit,115.26305,114.60707,0.10000,-0.56790,0.50230,4,1.00000,"{'momentum_5': 0.007078563313816177, 'momentum_20': 0.0115870786516854}"
AMZN,2022-09-30T17:00:00+00:00,2022-10-03T16:30:00+00:00,17,16,momentum_confirmation,structure_exit,114.61292,113.88722,0.10000,-0.57486,0.50229,12,1.00000,"{'momentum_5': 0.008981245047107622, 'momentum_20': 0.01183222958057395}"
AMZN,2022-10-03T17:45:00+00:00,2022-10-04T16:30:00+00:00,17,16,momentum_confirmation,take_profit,114.85297,121.10577,0.10000,0.12292,0.50236,3,1.00000,"{'momentum_5': 0.008076551663594111, 'momentum_20': 0.009760816039394937}"
AMZN,2022-10-04T17:40:00+00:00,2022-10-05T16:30:00+00:00,17,16,momentum_confirmation,structure_exit,122.87457,119.97600,0.10000,-0.79229,0.50243,4,1.00000,"{'momentum_5': 0.004990183246073254, 'momentum_20': 0.055775180474389785}"
AMZN,2022-10-06T16:30:00+00:00,2022-10-06T16:45:00+00:00,16,16,momentum_confirmation,structure_exit,121.31426,120.35592,0.10000,-0.59825,0.50242,3,1.00000,"{'momentum_5': 0.006222000995520061, 'momentum_20': 0.008648648648648782}"
AMZN,2022-10-10T16:45:00+00:00,2022-10-10T17:00:00+00:00,16,17,momentum_confirmation,stop_loss,115.71314,114.67706,0.10000,-0.60591,0.50230,3,1.00000,"{'momentum_5': 0.01039301310043661, 'momentum_20': 0.009599441487040616}"
AMZN,2022-10-14T16:30:00+00:00,2022-10-14T16:40:00+00:00,16,16,momentum_confirmation,trailing_stop,113.45269,113.06738,0.10000,-0.54080,0.50227,2,1.00000,"{'momentum_5': 0.010242251514072098, 'momentum_20': 0.013944757307589262}"
AMZN,2022-10-17T16:35:00+00:00,2022-10-17T17:50:00+00:00,16,17,momentum_confirmation,trailing_stop,111.41228,112.11757,0.10000,-0.43171,0.50224,15,1.00000,"{'momentum_5': 0.03724741596051784, 'momentum_20': 0.03263187169741344}"
AMZN,2022-10-18T17:15:00+00:00,2022-10-18T17:25:00+00:00,17,17,momentum_confirmation,stop_loss,117.25345,116.48670,0.10000,-0.57901,0.50234,2,1.00000,"{'momentum_5': 0.008169934640522847, 'momentum_20': 0.03432151049938237}"
AMZN,2022-10-20T16:40:00+00:00,2022-10-21T16:30:00+00:00,16,16,momentum_confirmation,structure_exit,115.83316,115.13697,0.10000,-0.57193,0.50231,16,1.00000,"{'momentum_5': 0.010293989357061939, 'momentum_20': 0.007393876130828092}"
AMZN,2022-10-24T16:35:00+00:00,2022-10-24T17:00:00+00:00,16,17,momentum_confirmation,structure_exit,119.86397,118.07638,0.10000,-0.68114,0.50238,5,1.00000,"{'momentum_5': 0.003937337689536635, 'momentum_20': 0.010455311973018633}"
AMZN,2022-10-25T16:45:00+00:00,2022-10-25T17:30:00+00:00,16,17,momentum_confirmation,structure_exit,121.02420,119.79604,0.10000,-0.62522,0.50241,9,1.00000,"{'momentum_5': 0.01094494109783617, 'momentum_20': 0.014249790444258226}"
AMZN,2022-10-31T16:30:00+00:00,2022-10-31T16:45:00+00:00,16,16,momentum_confirmation,stop_loss,104.38087,102.68946,0.10000,-0.67121,0.50207,3,1.00000,"{'momentum_5': 0.016757599376461485, 'momentum_20': 0.017153996101364477}"
